Index,Word
1,<OOV>
2,asana
3,muscles
4,body
5,organs
6,helps
7,strengthens
8,abdominal
9,blood
10,tones
11,energy
12,mudra
13,legs
14,joints
15,nervous
16,practice
17,balance
18,asanas
19,physical
20,improves
21,stretches
22,useful
23,nerves
24,spine
25,stimulates
26,pelvic
27,pressure
28,mind
29,develops
30,benefits
31,excellent
32,lower
33,shoulders
34,spinal
35,reproductive
36,flow
37,chakra
38,especially
39,tension
40,massages
41,meditation
42,circulation
43,awareness
44,neck
45,sense
46,constipation
47,heart
48,region
49,digestive
50,brain
51,self
52,prana
53,relieves
54,area
55,effect
56,induces
57,concentration
58,improving
59,good
60,posture
61,mental
62,coordination
63,beneficial
64,gives
65,arms
66,liver
67,weight
68,hips
69,thighs
70,shoulder
71,chest
72,abdomen
73,pose
74,leg
75,problems
76,exercise
77,particularly
78,relaxation
79,disorders
80,balances
81,loosening
82,blockages
83,state
84,increases
85,knees
86,mooladhara
87,stimulating
88,entire
89,spiritual
90,makes
91,supple
92,eliminating
93,removes
94,rheumatism
95,high
96,confidence
97,relieve
98,hip
99,loosens
100,stretch
101,bandha
102,hands
103,group
104,concerned
105,debilitated
106,arthritis
107,ail
108,ments
109,vigorous
110,advised
111,meditative
112,people
113,toning
114,muscular
115,upper
116,relieving
117,encourages
118,level
119,sexual
120,control
121,pranic
122,glands
123,sirshasana
124,anger
125,addition
126,anxiety
127,stiffness
128,removing
129,feet
130,systems
131,relaxes
132,lungs
133,peristalsis
134,psychic
135,diaphragm
136,kidneys
137,visceral
138,gland
139,manipura
140,knee
141,inner
142,remove
143,head
144,vertebrae
145,deep
146,blades
147,ailments
148,eye
149,breath
150,chakras
151,redirects
152,reduces
153,nostrils
154,right
155,left
156,regulates
157,adrenal
158,alleviating
159,asthma
160,pancreas
161,activates
162,reverses
163,fingers
164,energies
165,thigh
166,related
167,strain
168,maintain
169,menstrual
170,buttocks
171,time
172,toned
173,performed
174,practised
175,flexibility
176,pelvis
177,revitalizes
178,inducing
179,increased
180,pain
181,perineum
182,position
183,moola
184,alleviates
185,stomach
186,awaken
187,removed
188,thyroid
189,preparation
190,excess
191,awakening
192,generally
193,secretions
194,diabetes
195,intestinal
196,develop
197,internal
198,powerful
199,carbon
200,dioxide
201,nadi
202,neti
203,tiredness
204,long
205,prolonged
206,tion
207,psycho
208,exercises
209,helpful
210,allows
211,reduced
212,process
213,upward
214,calming
215,vajroli
216,brahmacharya
217,purposes
218,balancing
219,nerve
220,calms
221,emotional
222,forms
223,backache
224,health
225,alleviate
226,paschimottanasana
227,stimulate
228,root
229,states
230,tranquillity
231,nadis
232,circuit
233,practitioner
234,foot
235,help
236,padmasana
237,correct
238,wind
239,pregnancy
240,months
241,arm
242,balanced
243,eyes
244,suffering
245,sciatica
246,periods
247,simple
248,air
249,relaxing
250,cause
251,veins
252,sahasrara
253,supply
254,making
255,pranayama
256,influences
257,influence
258,stability
259,female
260,digestion
261,functioning
262,bhujangasana
263,intestines
264,flexible
265,breathing
266,increase
267,face
268,respiratory
269,increasing
270,hamstring
271,disturbances
272,form
273,rectify
274,glandular
275,aids
276,important
277,stress
278,creates
279,maha
280,sinuses
281,stagnant
282,prevent
283,strong
284,ligaments
285,activating
286,healing
287,preparatory
288,practise
289,caused
290,work
291,cervical
292,spondylitis
293,release
294,massaging
295,diges
296,sitting
297,bringing
298,column
299,women
300,releases
301,profound
302,simultaneously
303,stretched
304,alternately
305,viewing
306,lateral
307,power
308,slipped
309,disc
310,sciatic
311,bending
312,postures
313,facilitates
314,given
315,trunk
316,experience
317,normally
318,centres
319,presses
320,automatically
321,locks
322,cord
323,affects
324,piles
325,ajna
326,open
327,activities
328,throat
329,giving
330,inverted
331,rounded
332,oxygen
333,postural
334,helping
335,waist
336,movement
337,lightness
338,depression
339,stimulated
340,function
341,vitality
342,appetite
343,massaged
344,tendency
345,wrists
346,processes
347,brings
348,considered
349,greatest
350,psychological
351,hay
352,fever
353,menopausal
354,imbalance
355,disorder
356,gravity
357,alleviated
358,reversed
359,regions
360,tissue
361,regen
362,eration
363,exhalation
364,larger
365,amounts
366,soothing
367,toxins
368,phlegm
369,apana
370,rate
371,pingala
372,jnana
373,chin
374,finger
375,palms
376,consciousness
377,cramp
378,post
379,joint
380,sit
381,cross
382,morning
383,limbs
384,effective
385,improve
386,adjustment
387,plexus
388,fo
389,order
390,regulating
391,flatulence
392,prepares
393,compresses
394,runs
395,focusing
396,sleep
397,physically
398,mentally
399,pratyahara
400,stiff
401,compression
402,backward
403,bent
404,difficult
405,steady
406,calmness
407,directs
408,siddhasana
409,bone
410,point
411,swadhisthana
412,sahajoli
413,impulses
414,hormones
415,sensations
416,minutes
417,lumbar
418,healthy
419,varicose
420,floor
421,centre
422,vajrasana
423,basically
424,mouth
425,shambhavi
426,gently
427,promotes
428,individual
429,discs
430,cases
431,regular
432,similar
433,strengthening
434,ankles
435,improved
436,capacity
437,points
438,growing
439,sides
440,feeling
441,chakrasana
442,directly
443,opens
444,drainage
445,hamstrings
446,general
447,peace
448,kundalini
449,shalabhasana
450,causes
451,leads
452,realign
453,uro
454,genital
455,metabolic
456,inside
457,opened
458,lumbago
459,spasms
460,vishuddhi
461,free
462,coordinates
463,halasana
464,takes
465,abdomin
466,al
467,break
468,fats
469,exercising
470,gall
471,bladder
472,streng
473,thens
474,harmony
475,doshas
476,humours
477,vata
478,kapha
479,directing
480,samana
481,cools
482,heat
483,enables
484,world
485,awakens
486,endings
487,index
488,thumb
489,placing
490,ida
491,planes
492,khechari
493,nasal
494,introverts
495,carotid
496,jala
497,venous
498,legged
499,ardha
500,hold
501,relieved
502,hours
503,hand
504,shape
505,different
506,prolapse
507,waking
508,twisting
509,em
510,works
511,tightness
512,hormonal
513,lethargy
514,r
515,shavasana
516,attain
517,preparing
518,recovery
519,areas
520,gynaecological
521,natal
522,frustration
523,like
524,mas
525,saged
526,equal
527,aiding
528,defective
529,spontaneous
530,sideways
531,eyeball
532,accommodating
533,dynamic
534,tired
535,completely
536,recommended
537,complaints
538,certain
539,extended
540,resume
541,normal
542,lung
543,regularly
544,counterpose
545,comfortable
546,utilized
547,held
548,calm
549,applies
550,slow
551,decreased
552,large
553,applied
554,pubic
555,trigger
556,redirect
557,establishing
558,necessary
559,result
560,noticeable
561,tingling
562,reduction
563,rebalancing
564,fluid
565,retention
566,contact
567,brought
568,hydrocele
569,efficiency
570,primarily
571,sympathetic
572,parasympathetic
573,opening
574,nose
575,ears
576,voice
577,clear
578,disturbed
579,uncontrollable
580,thoughts
581,relief
582,safely
583,children
584,problem
585,male
586,shashank
587,acts
588,extra
589,fully
590,n
591,akes
592,bronchitis
593,rectifies
594,s
595,emerge
596,height
597,stretching
598,enabling
599,bones
600,grow
601,longer
602,tadasana
603,waistline
604,middle
605,uterus
606,strengthened
607,young
608,bodies
609,fat
610,mucus
611,freeing
612,contributing
613,water
614,respiration
615,diverting
616,developed
617,spiritually
618,security
619,strength
620,equanimity
621,provides
622,mild
623,bowels
624,tightens
625,spontaneously
626,dhanurasana
627,ed
628,excretory
629,dyspepsia
630,sluggishness
631,management
632,activated
633,netvous
634,conditions
635,effects
636,ache
637,spleen
638,renders
639,massage
640,proper
641,gait
642,graceful
643,contracting
644,duces
645,adjoining
646,inflammatory
647,calcium
648,deposits
649,low
650,rich
651,preliminary
652,accustoms
653,influx
654,crown
655,supporting
656,impeded
657,ankle
658,contract
659,anahata
660,managing
661,introversion
662,accumulation
663,skin
664,conservation
665,endocrine
666,accumulated
667,pitta
668,bile
669,eliminatory
670,higher
671,ageing
672,revitalizing
673,solar
674,technique
675,nostril
676,hemisphere
677,hunger
678,thirst
679,bhramari
680,insomnia
681,ujjayi
682,soothes
683,rapid
684,exchange
685,sensory
686,distractions
687,outside
688,raises
689,external
690,pre
691,neural
692,constantly
693,emit
694,touches
695,produced
696,dissipate
697,environment
698,travel
699,placed
700,sensitized
701,creating
702,maintains
703,known
704,gupta
705,hidden
706,sensitizing
707,channel
708,receptivity
709,absent
710,hemispheres
711,intensifies
712,hridaya
713,emotion
714,thoughtlessness
715,nasikagra
716,drishti
717,number
718,located
719,shakti
720,induce
721,combines
722,kumbhaka
723,perfected
724,distribution
725,subtle
726,attitude
727,manduki
728,bheda
729,arteries
730,main
731,regulate
732,allowing
733,degenerative
734,uddiyana
735,fresh
736,sutra
737,calf
738,returning
739,lymph
740,thrombosis
741,bedridden
742,operative
743,patients
744,bears
745,support
746,vulnerable
747,injuries
748,sprains
749,osteoarthritis
750,strengthen
751,quadriceps
752,muscle
753,rejuvenate
754,loos
755,ening
756,poses
757,fortably
758,positions
759,titali
760,daily
761,evening
762,stages
763,prepare
764,mastery
765,lot
766,standing
767,walking
768,wrist
769,writing
770,typing
771,driving
772,office
773,frozen
774,connecting
775,pass
776,accumulate
777,desk
778,heaviness
779,perineal
780,obesity
781,supta
782,pawanmuktasana
783,impotence
784,sterility
785,thing
786,eliminate
787,distance
788,determines
789,placement
790,twist
791,approach
792,rises
793,cardiac
794,ther
795,efore
796,moving
797,vertebra
798,suppleness
799,action
800,circu
801,latory
802,deeper
803,immediately
804,restores
805,freshness
806,childbearing
807,second
808,trimester
809,firms
810,breast
811,cycle
812,postnatal
813,positive
814,girdle
815,special
816,usually
817,inaccessible
818,io
819,lighten
820,mood
821,namaskarasana
822,pulled
823,away
824,palming
825,aqueous
826,humour
827,liquid
828,cornea
829,lens
830,correction
831,vision
832,eyesight
833,blink
834,irregularly
835,unnaturally
836,habitual
837,blinking
838,reflex
839,becmne
840,strained
841,constant
842,reading
843,close
844,prevents
845,corrects
846,squint
847,medial
848,rotational
849,coordinated
850,acti
851,vities
852,range
853,movements
854,physiological
855,ideally
856,surya
857,namaskara
858,practi
859,tioner
860,feels
861,relaxed
862,developing
863,stooping
864,figure
865,es
866,pecially
867,types
868,remain
869,vertebral
870,asthmatics
871,enter
872,fotward
873,recom
874,tnended
875,matsya
876,kridasana
877,later
878,lying
879,major
880,block
881,circumstances
882,ideal
883,sleeping
884,practising
885,yoga
886,nidra
887,supported
888,pillow
889,comfort
890,sukhasana
891,easiest
892,ill
893,persons
894,unable
895,medita
896,causing
897,holds
898,pillar
899,firm
900,foundation
901,steadied
902,steadi
903,ness
904,step
905,real
906,heightening
907,redirected
908,activity
909,siddha
910,yoni
911,swastikasana
912,aching
913,easy
914,sustain
915,comparatively
916,alternative
917,rotated
918,outwards
919,structure
920,outer
921,alters
922,preventative
923,measure
924,hernia
925,genitals
926,fibres
927,feed
928,dilated
929,testicles
930,men
931,hyperacidity
932,peptic
933,ulcer
934,armpits
935,facilitate
936,respectively
937,autonomic
938,predominantly
939,aspirants
940,definite
941,extension
942,absolutely
943,fixed
944,total
945,facing
946,rays
947,early
948,sun
949,simhagarjanasana
950,stutter
951,introverted
952,beautiful
953,unconscious
954,realms
955,quickly
956,thinking
957,beco
958,nes
959,precise
960,think
961,nuch
962,cramps
963,leucorrhea
964,forceful
965,contraction
966,avoided
967,directions
968,childbirth
969,birth
970,separates
971,releasing
972,connections
973,emanating
974,squeezed
975,rise
976,shashankasana
977,come
978,maintaining
979,final
980,mainly
981,flexing
982,forward
983,tightening
984,stregthens
985,headstand
986,gradually
987,adapt
988,lesser
989,degree
990,ushtrasana
991,bend
992,drooping
993,realigns
994,influenced
995,expanded
996,filling
997,fi
998,om
999,round
1000,synchronized
1001,breaths
1002,receives
1003,uses
1004,short
1005,exercised
1006,significant
1007,subconscious
1008,responsible
1009,alternate
1010,tensing
1011,smoothes
1012,bad
1013,writer
1014,ann
1015,loosened
1016,congestion
1017,rectus
1018,abdomini
1019,groups
1020,correcting
1021,day
1022,kati
1023,redistributes
1024,specifically
1025,poor
1026,series
1027,reduce
1028,han
1029,strings
1030,prepranayama
1031,alveoli
1032,added
1033,establishes
1034,indigestion
1035,spaces
1036,yogamudrasana
1037,drink
1038,glasses
1039,perform
1040,inflamed
1041,bleeding
1042,recirculates
1043,thymus
1044,boosting
1045,immune
1046,greatly
1047,youthfulness
1048,defects
1049,achieving
1050,productive
1051,growth
1052,poorly
1053,chests
1054,excited
1055,ens
1056,backs
1057,sarpasana
1058,condition
1059,creased
1060,levels
1061,discomfort
1062,alimentary
1063,canal
1064,reconditioned
1065,massag
1066,gastrointestinal
1067,chronic
1068,realigned
1069,netves
1070,hunching
1071,cetvical
1072,thoracic
1073,colon
1074,miscarry
1075,bronchial
1076,risk
1077,achilles
1078,tendons
1079,gomukhasana
1080,insides
1081,compressing
1082,including
1083,speeds
1084,providing
1085,essentially
1086,distributed
1087,parts
1088,identical
1089,janu
1090,distinct
1091,characteristic
1092,intense
1093,turn
1094,development
1095,shaping
1096,girls
1097,rendering
1098,stronger
1099,mus
1100,cles
1101,adrenals
1102,meru
1103,wakrasana
1104,beginners
1105,twists
1106,musrular
1107,sarvangasana
1108,treatment
1109,additional
1110,attempting
1111,place
1112,suprarenal
1113,production
1114,insulin
1115,kidney
1116,expansion
1117,benefiting
1118,natavarasana
1119,garudasana
1120,coordina
1121,paschimottan
1122,ofbalance
1123,ability
1124,retain
1125,seminal
1126,maintenance
1127,toes
1128,perin
1129,eum
1130,preservation
1131,hamsasana
1132,equilibrium
1133,keeps
1134,ovaries
1135,koormasana
1136,consti
1137,pation
1138,composure
1139,surrender
1140,passion
1141,fear
1142,subside
1143,refreshed
1144,poorna
1145,sti
1146,mulates
1147,apply
1148,beneficially
1149,sagging
1150,cardiovascular
1151,horn
1152,onal
1153,strongly
1154,ashwini
1155,consequently
1156,grivasana
1157,elimination
1158,assisting
1159,removal
1160,boils
1161,harmonizes
1162,particular
1163,burnt
1164,exceptionally
1165,use
1166,extremely
1167,celibacy
1168,vrischikasana
1169,reorganizes
1170,arrest
1171,ing
1172,pituitary
1173,arched
1174,thoroughly
1175,repro
1176,ductive
1177,vitalizing
1178,eka
1179,pada
1180,sirasana
1181,powerfully
1182,vayu
1183,sensitivity
1184,minor
1185,tends
1186,activate
1187,stage
1188,associated
1189,biological
1190,drives
1191,temperature
1192,regulation
1193,excitation
1194,tranquillizer
1195,generates
1196,satisfaction
1197,cerebral
1198,harmonizing
1199,inward
1200,vibration
1201,humming
1202,sound
1203,nen
1204,ous
1205,classified
1206,tranquillizing
1207,heating
1208,profoundly
1209,slows
1210,burns
1211,labour
1212,bloodstream
1213,producing
1214,flushing
1215,wastes
1216,rhythmic
1217,bhastrika
1218,inflammation
1219,onepointedness
1220,kapalbhati
1221,cleansing
1222,purifies
1223,energizes
1224,sleepiness
1225,moorchha
1226,draws
1227,inwards
1228,experienced
1229,cuts
1230,inhibits
1231,identification
1232,neuroses
1233,counteracts
1234,imbalances
1235,extroversion
1236,dynamism
1237,efficiently
1238,dull
1239,lethargic
1240,communicate
1241,alert
1242,perceptive
1243,interlocking
1244,complete
1245,connection
1246,vice
1247,versa
1248,tips
1249,thumbs
1250,stable
1251,greater
1252,othetwise
1253,dispersed
1254,elbows
1255,naturally
1256,tend
1257,performing
1258,represent
1259,dis
1260,union
1261,supreme
1262,bhairava
1263,prano
1264,diverts
1265,ring
1266,fmgers
1267,relate
1268,connected
1269,closes
1270,energizer
1271,easily
1272,acute
1273,situations
1274,pentup
1275,unburden
1276,conflict
1277,crisis
1278,aim
1279,create
1280,introspection
1281,aware
1282,nosetip
1283,concentrates
1284,powers
1285,cavity
1286,secretion
1287,saliva
1288,stillness
1289,preserves
1290,ultimately
1291,potential
1292,kaki
1293,tensions
1294,act
1295,pursing
1296,lips
1297,indrawn
1298,membranes
1299,bhujangini
1300,retaining
1301,float
1302,length
1303,bhoochari
1304,memory
1305,tranquillizes
1306,senses
1307,arrests
1308,thought
1309,relax
1310,withdrawal
1311,unmani
1312,agitation
1313,vipareeta
1314,karani
1315,downward
1316,outward
1317,expanding
1318,resulting
1319,disease
1320,pashinee
1321,drawal
1322,tadagi
1323,stored
1324,dia
1325,phragm
1326,plexuses
1327,ward
1328,extending
1329,dormant
1330,vital
1331,distributes
1332,instils
1333,adopting
1334,offering
1335,receiving
1336,cosmic
1337,source
1338,engendering
1339,fluctuations
1340,leading
1341,shatnbhavi
1342,linking
1343,charged
1344,harnessing
1345,supplements
1346,follows
1347,supercharge
1348,complex
1349,introverting
1350,faculties
1351,resides
1352,anal
1353,vents
1354,escape
1355,overcome
1356,conflicts
1357,unwanted
1358,conserves
1359,enhancing
1360,jalandhara
1361,variation
1362,exerts
1363,subtler
1364,circulatory
1365,decrease
1366,heavier
1367,initiated
1368,exerting
1369,prevented
1370,produces
1371,pointedness
1372,stimulus
1373,metabolism
1374,bestows
1375,psychosomatic
1376,illnesses
1377,means
1378,sublimate
1379,ment
1380,enhancement
1381,marital
1382,relations
1383,panacea
1384,torso
1385,suction
1386,uniting
1387,enhanced
1388,bandhas
1389,pineal
1390,checked
1391,cell
1392,rejuvenated
1393,prior
1394,merger
1395,culmination
1396,pranayamas
1397,j
1398,ala
1399,pollution
1400,passages
1401,obstruction
1402,manage
1403,tract
1404,diseases
1405,youthful
1406,appear
1407,ance
1408,drowsiness
1409,feel
1410,light
1411,smell
1412,overall
1413,corresponding
1414,importantly
1415,deviated
1416,septum
1417,flowing
1418,freely
1419,deformed
1420,fleshy
1421,outgrowths
1422,friction
1423,obstructions
1424,disappear
